,text,label,date
0,representanten harald tom nesvik bad ordet naturlig kommentere sonja sjøli betraktningene representantene unyanserte framstiller regjeringen regjeringspartiene generelt motstandere private tjenester opposisjonen høyre fremskrittspartiet bilde stemmer dårlig virkeligheten innførte fastlegeordningen måter drevet arbeiderpartiet sv utgangspunktet kommuneleger fast ansatt kommuner privatpraktiserende selvstendig næringsdrivende arbeidsgiveransvar avtaler inngått privatpraktiserende spesialister høyre fremskrittspartiet utnytte kapasiteten hovedsak sv arbeiderpartiet fylkeskommunene helseforetakene privatpraktiserende spesialistene skummet fløten helsemarkedet forpliktelser forpliktelser refusjonstilskudd ventelistene ventelistene forpliktet måte verste eksemplene frihet ansvar fremskrittspartiet foreslått refusjonsordning privatpraktiserende spesialister knytter forpliktelser pasienter behandle framstillingen partiene blottet refleksjoner forhold bruken offentlige midler nødt gir midler gir refusjon privatpraktiserende spesialister midlene målrettet punkt enig gjelder eksempler kapasitet utnyttes fullt målrette forhold eksemplene capio østfold henvendelser angående henvendelser svere opplever familiemedlemmer alvorlig sykdom ledige behandlingsplasser forslag behandling komiteen fremskrittspartiet angående gir ettertanke gjelder helseforetakslovgivningen offentlige myndigheter tilfellet regjeringen virkemidler utnytte ledige plasser område absolutt behov foreta behandling påvente offentlige bygge tilbudet selvfølgelig nødvendig veien fritt sykehusvalg hørt fremskrittspartiet ganger orde offentlige styre virksomheter sikre kapasitet kvaliteten trenger plassene måter fallitterklæring kalle sykehus sykehus utnytte kapasiteten synliggjør politisk styring virksomhetene overlates vurdere tjenester knyttet spisevegring etterlyser høyre fremskrittspartiet kritisk vurdering private tjenester pris betale tjenestene venteliste behandles grunnene venteliste kapasiteten betydelig utvidet regjeringen overtok relativt unyanserte ureflekterte betraktninger beskriver virkeligheten søker skape lettvinte retoriske poenger partiene såpass nært kommende valgkampen,1,2009-06-03
1,selvfølgelig diskusjon timer saken konstatere prøve nødvendig prøver vet foss parti koalisjonsregjering fremmet sak vedkommende parti diskusjon landsmøte nødvendigvis regjeringens politikk prosessen svs side positivt arbeidet arbeiderpartiet utvalg syn forslagene synspunkter tillegg regjeringen diskuterer konstruktiv prosess arbeiderpartiets innspill høyres utålmodighet saken sikker stortinget forslag nødt vurdere presist,1,2011-02-16
2,takk svaret svar linjene senterpartiets program perioden 20052009 sitat satsinga samferdsel senterpartiet nødvendig oljepengar forsvarleg tiltak lettar sentraliseringspresset set ledige arbeid fjernar flaskehalsar ulykkesfare næringslivet billegare transport statsråd navarsete nestleder navarsete senterpartiet,0,2007-03-21
3,riktig alternative statsbudsjetter prinsipale holdning forsvarsbudsjettets rammer valgt regjeringen støtte budsjettet subsidiær stemmegivning innrømmer forhandlinger regjeringen vunnet forsvarsområdet åpne ærlige slag innse taper gjentatte ganger spørsmålet utenlandsoperasjoner forum regel behandles utvidede utenrikskomite spørsmålet finansiering gjentakende dokumentasjon representanten nybakk replikkordskiftet,0,2004-10-26
4,dagens dagsavisen stortingsrepresentant astrid marie nistad arbeiderpartiet følgende asylsøker siktet kriminelle forhold politiet sitter sikre bevis søkeren utvises søknaden ferdigbehandlet statsråden enig stortingsrepresentant statsråden enig regjeringen hittil slapp bla forslag fremskrittspartiet effektivt vedtatt hindret falske asylsøkere begå kriminalitet base asylmottak ganger vitne regjeringen snakker snakker snakker snakker konkret forvente handling direktiver politi driver asylmottak sørge personer mistenke begå kriminalitet stoppes,0,2000-11-15
5,hører boligminister solberg føler kortsiktige løsninger egentlig kortsiktige løsninger regjeringen prioritere regjeringen prioritere ene gjelder husbankens lånerammer statsråden fjor høst budsjettvedtaket strammet lånerammene husbanken 2 milliarder kr forhold arbeiderpartiregjeringens forslag økning husbanken tom utlånsmidler sommeren tvil oppbremsing igangsettingen boligbyggingen snakker bransjeorganisasjonene trøbbel skaffe finansiering boligbygging husbanken midler stille husk lånerammer staten tjener penger tjener penger låne midlene fart boligbyggingen ministeren prioritere grunner ene boligbygging skattelette satse penger husbankens lånerammer utgiftsside statsbudsjettet inntektsside bidra fart økonomien forhold boligbyggingen dumt tenker erna solberg boligbyggingen definitivt rom penger husbankens lånerammer rent politiskideologiske høyretenkningen husbanken lånevirksomheten nybygde boliger husbanken 45 50 pst høyre isteden private bankene finansiere boligbyggingen fører lavere boligbygging boligbygging utlån husbankens side merker høyreregjeringen kortsiktig tiltak funket bostedsløse ubalanse leiemarkedet tvil erna solberg folkene bostedsløse behov bolig problemet bolig tror bostedsløse føres usosial boligpolitikk regjeringens side høyere priser folk råd betale,1,2002-12-12
6,representanten lene vågslid svar spørsmål inngripen foreldres liv fratatt barn dessverre nødvendig barnevernet makt henvendelser besteforeldre foreldre tanter onkler ønsker vite barnevernet krenket menneskerettighetene fremskrittspartiet utvidede familien gode trygge løsninger barnet tungtveiende grunner barnevernets side gripe familiens forhold glemme barn rettigheter villig rettssikkerheten barn barnevernet styrkes skyttergaven skrittet barnevernet omsorgsovertakelse sak fylkesnemnden tiltak prøvd sikker barnevernet rette avgjørelsene fylkesnemndene barnevern sosiale saker fatter vedtak lov 17 1992 nr 100 barnevernstjenester overtakelse omsorg barn fratakelse foreldreansvaret intensjonen opprettelsen fylkesnemndene styrke rettssikkerheten barn foreldre etablere avgjørelsesorgan uavhengig frittstående fylkesnemndene domstolslignende forvaltningsorgan overprøves domstolene innledet viktige beslutninger fylkesnemndene enkeltmenneskers liv påse rettssikkerheten parter ivaretatt viktige argumenter fylkesnemndene ordinære rettssystemet sikre rettssikkerheten ivaretatt fremskrittspartiet rettssikkerheten stille spørsmål barns rettssikkerhet domstolslignende organ ordinære rettsapparatet sakene avgjort fylkesnemndene anket tingretten saker barnevernet anker lagmannsretten påvente utfallet lagmannsretten fylkesnemndens vedtak gjeldende mor kontoret opplevde barnevernet anket saken mor vunnet tingretten anken barnevernet lagmannsretten trådte fylkesnemndens avgjørelse kraft mor mistet barnet saken lagmannsretten mor beskjed saken favør mente lagmannsretten barnet baby knyttet fosterforeldrene riktig avgjørelse stille spørsmål rettssikkerheten parter saker ivaretatt ordinære domstolene besitter spesialkunnskap barns oppvekst behov kjennskap verdikonflikter oppstår vanskelige barnevernssaker viktige motargument løses dommerne spesialopplæring saker oppretter familiedomstoler opplæring vet sakene avgjort fylkesnemndene anket domstolene fremskrittspartiet parter sak hørt argumenter ivaretatt bedre måte ordinære domstolssystemet fylkesnemndene tillegg sammensetningen fylkesnemndene uheldig tanke rettssikkerheten dagens praksis fylkesnemndene uavhengig barnevernet oppnevner sakkyndige barnevernstjenesten stilling private part saker omsorgsovertakelse eksempler fall reise tvil uavhengigheten sakkyndige betenkelig psykologer utredere kommunen sakkyndige medlemmer fylkesnemndene ivareta rettssikkerheten statsråden opptatt parter oppnevnte sakkyndige objektive partsnøytrale vurderinger skuffet komiteens flertallsinnstilling saken nevner flertallet ordet rettssikkerhet merknad stiller spørsmål sikker barnas rettssikkerhet ivaretatt vet fremstående menneskerettsjurister stiller spørsmål lurer foregår naivt flertallet stole blindt avgjørelsene rette fremskrittspartiet glad kommisjon arbeidsformen innholdet avgjørelsene fylkesnemndene forslagene fremskrittspartiet,0,2011-12-01
7,2004 enighet bygger fornybaranlegg 2004 sertifikatordningen innført cirka 160 anlegg bygget perioden 20042009 regjeringen vedtatt anlegg bygget 2009 sertifikatordningen spørsmål statsråden bygget anlegg 2004 2009 dårlig behandlet rødgrønne regjeringen delta sertifikatordningen,0,2011-12-12
8,knytte kommentarar spørsmålet utfasing oljefyring verkemiddel retta hushald stader klimaforliket forsikre forsamlinga kjenner relativt nøye omtalt vedtak utfasing oljefyring nemnt støtteordningar føreset støtteordningar 2013 offensive vedtak regjeringa leggje talfesta høve debatt stortinget media påstandar klimaforliket brote reagert ueinig samband budsjettet prioriterte punkt prikke budsjettet oppfylle månads effektiv arbeidstid budsjettet krev jobbar sagt støtteordningar 2013 oppfylle ambisiøse målet utfasing oljefyring 2020 definitivt behov framtida olje energiministeren nemnt enova trygge greiast klimaforliket gjerast tvil sider debatt løyse målet lærdommen inngått forlik nøye snakke hevdar brote regjeringa side evne opposisjonen forventar lov takke debatten seie klimatoppmøtet doha viktige vedtak presist beskrive kyoto 2 vedtekne viktigast bordet rydda verkeleg viktige arbeidet prøve lage avtale viktige utsleppslanda verda ekstremt krevjande politisk utfordring noreg bidra trur kjerneutfordring parti stortinget iallfall opptekne land kina usa behova utsleppskutt avtalen trer kraft handlingsretta initiativ land trappe klimafinansiering noreg nødvendig landa sør debatten trur salen gonger,1,2012-12-11
9,regjeringspartiene merknads skrevet private aktører tilbud rekonstruksjon gis rimelig ordet rimelig diffust hår suppa rimelig hår hodet rimelig anser regjeringen rimelig sammenheng,0,2012-03-01
